Year,Geography,Parent_Code_1,Parent_Code_2,Org_Code,Contract_Type,Age_Group,Gender,Dentist_Count
2012-13,3.NHS England Region Local Office,Y59,Q88,,Mixed,55+,F,4
2012-13,3.NHS England Region Local Office,Y59,Q88,,Mixed,55+,M,15
2012-13,3.NHS England Region Local Office,Y59,Q88,,Mixed,Under 35,F,25
2012-13,3.NHS England Region Local Office,Y59,Q88,,Mixed,Under 35,M,25
2012-13,3.NHS England Region Local Office,Y59,Q88,,PDS,35-44,F,41
2012-13,3.NHS England Region Local Office,Y59,Q88,,PDS,35-44,M,38
2012-13,3.NHS England Region Local Office,Y59,Q88,,PDS,45-54,F,26
2012-13,3.NHS England Region Local Office,Y59,Q88,,PDS,45-54,M,40
2012-13,3.NHS England Region Local Office,Y59,Q88,,PDS,55+,F,13
2012-13,3.NHS England Region Local Office,Y59,Q88,,PDS,55+,M,25
2012-13,3.NHS England Region Local Office,Y59,Q88,,PDS,Under 35,F,29
2012-13,3.NHS England Region Local Office,Y59,Q88,,PDS,Under 35,M,18
2012-13,3.NHS England Region Local Office,Y59,Q88,,TDS,35-44,F,14
2012-13,3.NHS England Region Local Office,Y59,Q88,,TDS,35-44,M,3
2012-13,3.NHS England Region Local Office,Y59,Q88,,TDS,45-54,F,15
2012-13,3.NHS England Region Local Office,Y59,Q88,,TDS,45-54,M,3
2012-13,3.NHS England Region Local Office,Y59,Q88,,TDS,55+,F,15
2012-13,3.NHS England Region Local Office,Y59,Q88,,TDS,55+,M,4
2012-13,3.NHS England Region Local Office,Y59,Q88,,TDS,Under 35,F,12
2012-13,3.NHS England Region Local Office,Y59,Q88,,TDS,Under 35,M,3
2012-13,3.NHS England Region Local Office,Y60,Q76,,GDS,35-44,F,189
2012-13,3.NHS England Region Local Office,Y60,Q76,,GDS,35-44,M,194
2012-13,3.NHS England Region Local Office,Y60,Q76,,GDS,45-54,F,110
2012-13,3.NHS England Region Local Office,Y60,Q76,,GDS,45-54,M,174
2012-13,3.NHS England Region Local Office,Y60,Q76,,GDS,55+,F,30
2012-13,3.NHS England Region Local Office,Y60,Q76,,GDS,55+,M,138
2012-13,3.NHS England Region Local Office,Y60,Q76,,GDS,Under 35,F,251
2012-13,3.NHS England Region Local Office,Y60,Q76,,GDS,Under 35,M,210
2012-13,3.NHS England Region Local Office,Y60,Q76,,Mixed,35-44,F,7
2012-13,3.NHS England Region Local Office,Y60,Q76,,Mixed,35-44,M,15
2012-13,3.NHS England Region Local Office,Y60,Q76,,Mixed,45-54,F,6
2012-13,3.NHS England Region Local Office,Y60,Q76,,Mixed,45-54,M,8
2012-13,3.NHS England Region Local Office,Y60,Q76,,Mixed,55+,F,1
2012-13,3.NHS England Region Local Office,Y60,Q76,,Mixed,55+,M,5
2012-13,3.NHS England Region Local Office,Y60,Q76,,Mixed,Under 35,F,21
2012-13,3.NHS England Region Local Office,Y60,Q76,,Mixed,Under 35,M,17
2012-13,3.NHS England Region Local Office,Y60,Q76,,PDS,35-44,F,20
2012-13,3.NHS England Region Local Office,Y60,Q76,,PDS,35-44,M,19
2012-13,3.NHS England Region Local Office,Y60,Q76,,PDS,45-54,F,6
2012-13,3.NHS England Region Local Office,Y60,Q76,,PDS,45-54,M,18
2012-13,3.NHS England Region Local Office,Y60,Q76,,PDS,55+,F,5
2012-13,3.NHS England Region Local Office,Y60,Q76,,PDS,55+,M,15
2012-13,3.NHS England Region Local Office,Y60,Q76,,PDS,Under 35,F,21
2012-13,3.NHS England Region Local Office,Y60,Q76,,PDS,Under 35,M,21
2012-13,3.NHS England Region Local Office,Y60,Q76,,TDS,35-44,F,18
2012-13,3.NHS England Region Local Office,Y60,Q76,,TDS,35-44,M,9
2012-13,3.NHS England Region Local Office,Y60,Q76,,TDS,45-54,F,12
2012-13,3.NHS England Region Local Office,Y60,Q76,,TDS,45-54,M,6
2012-13,3.NHS England Region Local Office,Y60,Q76,,TDS,55+,F,9
2012-13,3.NHS England Region Local Office,Y60,Q76,,TDS,55+,M,13
2012-13,3.NHS England Region Local Office,Y60,Q76,,TDS,Under 35,F,9
2012-13,3.NHS England Region Local Office,Y60,Q76,,TDS,Under 35,M,6
2012-13,3.NHS England Region Local Office,Y60,Q77,,GDS,35-44,F,152
2012-13,3.NHS England Region Local Office,Y60,Q77,,GDS,35-44,M,192
2012-13,3.NHS England Region Local Office,Y60,Q77,,GDS,45-54,F,71
2012-13,3.NHS England Region Local Office,Y60,Q77,,GDS,45-54,M,155
2012-13,3.NHS England Region Local Office,Y60,Q77,,GDS,55+,F,29
2012-13,3.NHS England Region Local Office,Y60,Q77,,GDS,55+,M,133
2012-13,3.NHS England Region Local Office,Y60,Q77,,GDS,Under 35,F,319
2012-13,3.NHS England Region Local Office,Y60,Q77,,GDS,Under 35,M,266
2012-13,3.NHS England Region Local Office,Y60,Q77,,Mixed,35-44,F,17
2012-13,3.NHS England Region Local Office,Y60,Q77,,Mixed,35-44,M,26
2012-13,3.NHS England Region Local Office,Y60,Q77,,Mixed,45-54,F,4
2012-13,3.NHS England Region Local Office,Y60,Q77,,Mixed,45-54,M,18
2012-13,3.NHS England Region Local Office,Y60,Q77,,Mixed,55+,F,1
2012-13,3.NHS England Region Local Office,Y60,Q77,,Mixed,55+,M,12
2012-13,3.NHS England Region Local Office,Y60,Q77,,Mixed,Under 35,F,31
2012-13,3.NHS England Region Local Office,Y60,Q77,,Mixed,Under 35,M,23
2012-13,3.NHS England Region Local Office,Y60,Q77,,PDS,35-44,F,15
2012-13,3.NHS England Region Local Office,Y60,Q77,,PDS,35-44,M,16
2012-13,3.NHS England Region Local Office,Y60,Q77,,PDS,45-54,F,17
2012-13,3.NHS England Region Local Office,Y60,Q77,,PDS,45-54,M,18
2012-13,3.NHS England Region Local Office,Y60,Q77,,PDS,55+,F,7
2012-13,3.NHS England Region Local Office,Y60,Q77,,PDS,55+,M,9
2012-13,3.NHS England Region Local Office,Y60,Q77,,PDS,Under 35,F,10
2012-13,3.NHS England Region Local Office,Y60,Q77,,PDS,Under 35,M,13
2012-13,3.NHS England Region Local Office,Y60,Q77,,TDS,35-44,F,24
2012-13,3.NHS England Region Local Office,Y60,Q77,,TDS,35-44,M,3
2012-13,3.NHS England Region Local Office,Y60,Q77,,TDS,45-54,F,19
2012-13,3.NHS England Region Local Office,Y60,Q77,,TDS,45-54,M,18
2012-13,3.NHS England Region Local Office,Y60,Q77,,TDS,55+,F,17
2012-13,3.NHS England Region Local Office,Y60,Q77,,TDS,55+,M,8
2012-13,3.NHS England Region Local Office,Y60,Q77,,TDS,Under 35,F,33
2012-13,3.NHS England Region Local Office,Y60,Q77,,TDS,Under 35,M,12
2012-13,3.NHS England Region Local Office,Y60,Q78,,GDS,35-44,F,91
2012-13,3.NHS England Region Local Office,Y60,Q78,,GDS,35-44,M,117
2012-13,3.NHS England Region Local Office,Y60,Q78,,GDS,45-54,F,41
2012-13,3.NHS England Region Local Office,Y60,Q78,,GDS,45-54,M,109
2012-13,3.NHS England Region Local Office,Y60,Q78,,GDS,55+,F,15
2012-13,3.NHS England Region Local Office,Y60,Q78,,GDS,55+,M,78
2012-13,3.NHS England Region Local Office,Y60,Q78,,GDS,Under 35,F,152
2012-13,3.NHS England Region Local Office,Y60,Q78,,GDS,Under 35,M,172
2012-13,3.NHS England Region Local Office,Y60,Q78,,Mixed,35-44,F,3
2012-13,3.NHS England Region Local Office,Y60,Q78,,Mixed,35-44,M,13
2012-13,3.NHS England Region Local Office,Y60,Q78,,Mixed,45-54,F,4
2012-13,3.NHS England Region Local Office,Y60,Q78,,Mixed,45-54,M,6
2012-13,3.NHS England Region Local Office,Y60,Q78,,Mixed,55+,F,2
2012-13,3.NHS England Region Local Office,Y60,Q78,,Mixed,55+,M,4
2012-13,3.NHS England Region Local Office,Y60,Q78,,Mixed,Under 35,F,15
2012-13,3.NHS England Region Local Office,Y60,Q78,,Mixed,Under 35,M,22
2012-13,3.NHS England Region Local Office,Y60,Q78,,PDS,35-44,F,16
2012-13,3.NHS England Region Local Office,Y60,Q78,,PDS,35-44,M,21
2012-13,3.NHS England Region Local Office,Y60,Q78,,PDS,45-54,F,15
2012-13,3.NHS England Region Local Office,Y60,Q78,,PDS,45-54,M,20
2012-13,3.NHS England Region Local Office,Y60,Q78,,PDS,55+,F,7
2012-13,3.NHS England Region Local Office,Y60,Q78,,PDS,55+,M,9
2012-13,3.NHS England Region Local Office,Y60,Q78,,PDS,Under 35,F,33
2012-13,3.NHS England Region Local Office,Y60,Q78,,PDS,Under 35,M,31
2012-13,3.NHS England Region Local Office,Y60,Q78,,TDS,35-44,F,5
2012-13,3.NHS England Region Local Office,Y60,Q78,,TDS,45-54,F,4
2012-13,3.NHS England Region Local Office,Y60,Q78,,TDS,45-54,M,4
2012-13,3.NHS England Region Local Office,Y60,Q78,,TDS,55+,F,1
2012-13,3.NHS England Region Local Office,Y60,Q78,,TDS,55+,M,1
2012-13,3.NHS England Region Local Office,Y60,Q78,,TDS,Under 35,F,2
2012-13,3.NHS England Region Local Office,Y61,Q79,,GDS,35-44,F,288
2012-13,3.NHS England Region Local Office,Y61,Q79,,GDS,35-44,M,291
2012-13,3.NHS England Region Local Office,Y61,Q79,,GDS,45-54,F,147
2012-13,3.NHS England Region Local Office,Y61,Q79,,GDS,45-54,M,366
2012-13,3.NHS England Region Local Office,Y61,Q79,,GDS,55+,F,60
2012-13,3.NHS England Region Local Office,Y61,Q79,,GDS,55+,M,248
2012-13,3.NHS England Region Local Office,Y61,Q79,,GDS,Under 35,F,506
2012-13,3.NHS England Region Local Office,Y61,Q79,,GDS,Under 35,M,425
2012-13,3.NHS England Region Local Office,Y61,Q79,,Mixed,35-44,F,23
2012-13,3.NHS England Region Local Office,Y61,Q79,,Mixed,35-44,M,31
2012-13,3.NHS England Region Local Office,Y61,Q79,,Mixed,45-54,F,12
2012-13,3.NHS England Region Local Office,Y61,Q79,,Mixed,45-54,M,28
2012-13,3.NHS England Region Local Office,Y61,Q79,,Mixed,55+,F,2
2012-13,3.NHS England Region Local Office,Y61,Q79,,Mixed,55+,M,20
2012-13,3.NHS England Region Local Office,Y61,Q79,,Mixed,Under 35,F,45
2012-13,3.NHS England Region Local Office,Y61,Q79,,Mixed,Under 35,M,41
2012-13,3.NHS England Region Local Office,Y61,Q79,,PDS,35-44,F,48
2012-13,3.NHS England Region Local Office,Y61,Q79,,PDS,35-44,M,53
2012-13,3.NHS England Region Local Office,Y61,Q79,,PDS,45-54,F,42
2012-13,3.NHS England Region Local Office,Y61,Q79,,PDS,45-54,M,41
2012-13,3.NHS England Region Local Office,Y61,Q79,,PDS,55+,F,14
2012-13,3.NHS England Region Local Office,Y61,Q79,,PDS,55+,M,50
2012-13,3.NHS England Region Local Office,Y61,Q79,,PDS,Under 35,F,60
2012-13,3.NHS England Region Local Office,Y61,Q79,,PDS,Under 35,M,42
2012-13,3.NHS England Region Local Office,Y61,Q79,,TDS,35-44,F,11
2012-13,3.NHS England Region Local Office,Y61,Q79,,TDS,35-44,M,4
2012-13,3.NHS England Region Local Office,Y61,Q79,,TDS,45-54,F,17
2012-13,3.NHS England Region Local Office,Y61,Q79,,TDS,45-54,M,5
2012-13,3.NHS England Region Local Office,Y61,Q79,,TDS,55+,F,12
2012-13,3.NHS England Region Local Office,Y61,Q79,,TDS,55+,M,4
2012-13,3.NHS England Region Local Office,Y61,Q79,,TDS,Under 35,F,12
2012-13,3.NHS England Region Local Office,Y61,Q79,,TDS,Under 35,M,1
2012-13,3.NHS England Region Local Office,Y62,Q75,,GDS,35-44,F,99
2012-13,3.NHS England Region Local Office,Y62,Q75,,GDS,35-44,M,116
2012-13,3.NHS England Region Local Office,Y62,Q75,,GDS,45-54,F,66
2012-13,3.NHS England Region Local Office,Y62,Q75,,GDS,45-54,M,137
2012-13,3.NHS England Region Local Office,Y62,Q75,,GDS,55+,F,24
2012-13,3.NHS England Region Local Office,Y62,Q75,,GDS,55+,M,94
2012-13,3.NHS England Region Local Office,Y62,Q75,,GDS,Under 35,F,205
2012-13,3.NHS England Region Local Office,Y62,Q75,,GDS,Under 35,M,158
2012-13,3.NHS England Region Local Office,Y62,Q75,,Mixed,35-44,F,12
2012-13,3.NHS England Region Local Office,Y62,Q75,,Mixed,35-44,M,20
2012-13,3.NHS England Region Local Office,Y62,Q75,,Mixed,45-54,F,8
2012-13,3.NHS England Region Local Office,Y62,Q75,,Mixed,45-54,M,14
2012-13,3.NHS England Region Local Office,Y62,Q75,,Mixed,55+,F,1
2012-13,3.NHS England Region Local Office,Y62,Q75,,Mixed,55+,M,7
2012-13,3.NHS England Region Local Office,Y62,Q75,,Mixed,Under 35,F,29
2012-13,3.NHS England Region Local Office,Y62,Q75,,Mixed,Under 35,M,25
2012-13,3.NHS England Region Local Office,Y62,Q75,,PDS,35-44,F,25
2012-13,3.NHS England Region Local Office,Y62,Q75,,PDS,35-44,M,26
2012-13,3.NHS England Region Local Office,Y62,Q75,,PDS,45-54,F,25
2012-13,3.NHS England Region Local Office,Y62,Q75,,PDS,45-54,M,27
2012-13,3.NHS England Region Local Office,Y62,Q75,,PDS,55+,F,11
2012-13,3.NHS England Region Local Office,Y62,Q75,,PDS,55+,M,13
2012-13,3.NHS England Region Local Office,Y62,Q75,,PDS,Under 35,F,21
2012-13,3.NHS England Region Local Office,Y62,Q75,,PDS,Under 35,M,20
2012-13,3.NHS England Region Local Office,Y62,Q75,,TDS,35-44,F,11
2012-13,3.NHS England Region Local Office,Y62,Q75,,TDS,35-44,M,6
2012-13,3.NHS England Region Local Office,Y62,Q75,,TDS,45-54,F,15
2012-13,3.NHS England Region Local Office,Y62,Q75,,TDS,45-54,M,3
2012-13,3.NHS England Region Local Office,Y62,Q75,,TDS,55+,F,3
2012-13,3.NHS England Region Local Office,Y62,Q75,,TDS,55+,M,1
2012-13,3.NHS England Region Local Office,Y62,Q75,,TDS,Under 35,F,10
2012-13,3.NHS England Region Local Office,Y62,Q75,,TDS,Under 35,M,4
2012-13,3.NHS England Region Local Office,Y62,Q83,,GDS,35-44,F,111
2012-13,3.NHS England Region Local Office,Y62,Q83,,GDS,35-44,M,146
2012-13,3.NHS England Region Local Office,Y62,Q83,,GDS,45-54,F,64
2012-13,3.NHS England Region Local Office,Y62,Q83,,GDS,45-54,M,156
2012-13,3.NHS England Region Local Office,Y62,Q83,,GDS,55+,F,17
2012-13,3.NHS England Region Local Office,Y62,Q83,,GDS,55+,M,119
2012-13,3.NHS England Region Local Office,Y62,Q83,,GDS,Under 35,F,224
2012-13,3.NHS England Region Local Office,Y62,Q83,,GDS,Under 35,M,220
2012-13,3.NHS England Region Local Office,Y62,Q83,,Mixed,35-44,F,8
2012-13,3.NHS England Region Local Office,Y62,Q83,,Mixed,35-44,M,9
2012-13,3.NHS England Region Local Office,Y62,Q83,,Mixed,45-54,F,2
2012-13,3.NHS England Region Local Office,Y62,Q83,,Mixed,45-54,M,7
2012-13,3.NHS England Region Local Office,Y62,Q83,,Mixed,55+,M,6
2012-13,3.NHS England Region Local Office,Y62,Q83,,Mixed,Under 35,F,14
2012-13,3.NHS England Region Local Office,Y62,Q83,,Mixed,Under 35,M,18
2012-13,3.NHS England Region Local Office,Y62,Q83,,PDS,35-44,F,18
2012-13,3.NHS England Region Local Office,Y62,Q83,,PDS,35-44,M,9
2012-13,3.NHS England Region Local Office,Y62,Q83,,PDS,45-54,F,12
2012-13,3.NHS England Region Local Office,Y62,Q83,,PDS,45-54,M,16
2012-13,3.NHS England Region Local Office,Y62,Q83,,PDS,55+,F,4
2012-13,3.NHS England Region Local Office,Y62,Q83,,PDS,55+,M,14
2012-13,3.NHS England Region Local Office,Y62,Q83,,PDS,Under 35,F,20
2012-13,3.NHS England Region Local Office,Y62,Q83,,PDS,Under 35,M,12
2012-13,3.NHS England Region Local Office,Y62,Q83,,TDS,35-44,F,11
2012-13,3.NHS England Region Local Office,Y62,Q83,,TDS,35-44,M,4
2012-13,3.NHS England Region Local Office,Y62,Q83,,TDS,45-54,F,9
2012-13,3.NHS England Region Local Office,Y62,Q83,,TDS,45-54,M,3
2012-13,3.NHS England Region Local Office,Y62,Q83,,TDS,55+,F,9
2012-13,3.NHS England Region Local Office,Y62,Q83,,TDS,55+,M,6
2012-13,3.NHS England Region Local Office,Y62,Q83,,TDS,Under 35,F,19
2012-13,3.NHS England Region Local Office,Y62,Q83,,TDS,Under 35,M,6
2012-13,3.NHS England Region Local Office,Y62,Q84,,GDS,35-44,F,65
2012-13,3.NHS England Region Local Office,Y62,Q84,,GDS,35-44,M,83
2012-13,3.NHS England Region Local Office,Y62,Q84,,GDS,45-54,F,45
2012-13,3.NHS England Region Local Office,Y62,Q84,,GDS,45-54,M,95
2012-13,3.NHS England Region Local Office,Y62,Q84,,GDS,55+,F,21
2012-13,3.NHS England Region Local Office,Y62,Q84,,GDS,55+,M,65
2012-13,3.NHS England Region Local Office,Y62,Q84,,GDS,Under 35,F,144
2012-13,3.NHS England Region Local Office,Y62,Q84,,GDS,Under 35,M,131
2012-13,3.NHS England Region Local Office,Y62,Q84,,Mixed,35-44,F,1
2012-13,3.NHS England Region Local Office,Y62,Q84,,Mixed,35-44,M,3
2012-13,3.NHS England Region Local Office,Y62,Q84,,Mixed,45-54,M,1
2012-13,3.NHS England Region Local Office,Y62,Q84,,Mixed,55+,F,1
2012-13,3.NHS England Region Local Office,Y62,Q84,,Mixed,55+,M,2
2012-13,3.NHS England Region Local Office,Y62,Q84,,Mixed,Under 35,F,1
2012-13,3.NHS England Region Local Office,Y62,Q84,,Mixed,Under 35,M,1
2012-13,3.NHS England Region Local Office,Y62,Q84,,PDS,35-44,F,2
2012-13,3.NHS England Region Local Office,Y62,Q84,,PDS,35-44,M,2
2012-13,3.NHS England Region Local Office,Y62,Q84,,PDS,45-54,F,4
2012-13,3.NHS England Region Local Office,Y62,Q84,,PDS,45-54,M,3
2012-13,3.NHS England Region Local Office,Y62,Q84,,PDS,55+,M,4
2012-13,3.NHS England Region Local Office,Y62,Q84,,PDS,Under 35,F,1
2012-13,3.NHS England Region Local Office,Y62,Q84,,PDS,Under 35,M,3
2012-13,3.NHS England Region Local Office,Y62,Q84,,TDS,35-44,F,9
2012-13,3.NHS England Region Local Office,Y62,Q84,,TDS,35-44,M,10
2012-13,3.NHS England Region Local Office,Y62,Q84,,TDS,45-54,F,11
2012-13,3.NHS England Region Local Office,Y62,Q84,,TDS,45-54,M,12
2012-13,3.NHS England Region Local Office,Y62,Q84,,TDS,55+,F,9
2012-13,3.NHS England Region Local Office,Y62,Q84,,TDS,55+,M,7
2012-13,3.NHS England Region Local Office,Y62,Q84,,TDS,Under 35,F,6
2012-13,3.NHS England Region Local Office,Y62,Q84,,TDS,Under 35,M,4
2012-13,3.NHS England Region Local Office,Y63,Q72,,GDS,35-44,F,206
2012-13,3.NHS England Region Local Office,Y63,Q72,,GDS,35-44,M,242
2012-13,3.NHS England Region Local Office,Y63,Q72,,GDS,45-54,F,132
2012-13,3.NHS England Region Local Office,Y63,Q72,,GDS,45-54,M,240
2012-13,3.NHS England Region Local Office,Y63,Q72,,GDS,55+,F,38
2012-13,3.NHS England Region Local Office,Y63,Q72,,GDS,55+,M,158
2012-13,3.NHS England Region Local Office,Y63,Q72,,GDS,Under 35,F,400
2012-13,3.NHS England Region Local Office,Y63,Q72,,GDS,Under 35,M,331
2012-13,3.NHS England Region Local Office,Y63,Q72,,Mixed,35-44,F,20
2012-13,3.NHS England Region Local Office,Y63,Q72,,Mixed,35-44,M,29
2012-13,3.NHS England Region Local Office,Y63,Q72,,Mixed,45-54,F,12
2012-13,3.NHS England Region Local Office,Y63,Q72,,Mixed,45-54,M,23
2012-13,3.NHS England Region Local Office,Y63,Q72,,Mixed,55+,F,7
2012-13,3.NHS England Region Local Office,Y63,Q72,,Mixed,55+,M,14
2012-13,3.NHS England Region Local Office,Y63,Q72,,Mixed,Under 35,F,55
2012-13,3.NHS England Region Local Office,Y63,Q72,,Mixed,Under 35,M,52
2012-13,3.NHS England Region Local Office,Y63,Q72,,PDS,35-44,F,35
2012-13,3.NHS England Region Local Office,Y63,Q72,,PDS,35-44,M,42
2012-13,3.NHS England Region Local Office,Y63,Q72,,PDS,45-54,F,35
2012-13,3.NHS England Region Local Office,Y63,Q72,,PDS,45-54,M,46
2012-13,3.NHS England Region Local Office,Y63,Q72,,PDS,55+,F,12
2012-13,3.NHS England Region Local Office,Y63,Q72,,PDS,55+,M,32
2012-13,3.NHS England Region Local Office,Y63,Q72,,PDS,Under 35,F,43
2012-13,3.NHS England Region Local Office,Y63,Q72,,PDS,Under 35,M,50
2012-13,3.NHS England Region Local Office,Y63,Q72,,TDS,35-44,F,25
2012-13,3.NHS England Region Local Office,Y63,Q72,,TDS,35-44,M,8
2012-13,3.NHS England Region Local Office,Y63,Q72,,TDS,45-54,F,22
2012-13,3.NHS England Region Local Office,Y63,Q72,,TDS,45-54,M,12
2012-13,3.NHS England Region Local Office,Y63,Q72,,TDS,55+,F,8
2012-13,3.NHS England Region Local Office,Y63,Q72,,TDS,55+,M,5
2012-13,3.NHS England Region Local Office,Y63,Q72,,TDS,Under 35,F,14
2012-13,3.NHS England Region Local Office,Y63,Q72,,TDS,Under 35,M,8
2012-13,3.NHS England Region Local Office,Y63,Q74,,GDS,35-44,F,144
2012-13,3.NHS England Region Local Office,Y63,Q74,,GDS,35-44,M,159
2012-13,3.NHS England Region Local Office,Y63,Q74,,GDS,45-54,F,103
2012-13,3.NHS England Region Local Office,Y63,Q74,,GDS,45-54,M,191
2012-13,3.NHS England Region Local Office,Y63,Q74,,GDS,55+,F,30
2012-13,3.NHS England Region Local Office,Y63,Q74,,GDS,55+,M,110
2012-13,3.NHS England Region Local Office,Y63,Q74,,GDS,Under 35,F,308
2012-13,3.NHS England Region Local Office,Y63,Q74,,GDS,Under 35,M,276
2012-13,3.NHS England Region Local Office,Y63,Q74,,Mixed,35-44,F,16
2012-13,3.NHS England Region Local Office,Y63,Q74,,Mixed,35-44,M,19
2012-13,3.NHS England Region Local Office,Y63,Q74,,Mixed,45-54,F,4
2012-13,3.NHS England Region Local Office,Y63,Q74,,Mixed,45-54,M,15
2012-13,3.NHS England Region Local Office,Y63,Q74,,Mixed,55+,M,8
2012-13,3.NHS England Region Local Office,Y63,Q74,,Mixed,Under 35,F,12
2012-13,3.NHS England Region Local Office,Y63,Q74,,Mixed,Under 35,M,14
2012-13,3.NHS England Region Local Office,Y63,Q74,,PDS,35-44,F,15
2012-13,3.NHS England Region Local Office,Y63,Q74,,PDS,35-44,M,14
2012-13,3.NHS England Region Local Office,Y63,Q74,,PDS,45-54,F,9
2012-13,3.NHS England Region Local Office,Y63,Q74,,PDS,45-54,M,10
2012-13,3.NHS England Region Local Office,Y63,Q74,,PDS,55+,M,11
2012-13,3.NHS England Region Local Office,Y63,Q74,,PDS,Under 35,F,12
2012-13,3.NHS England Region Local Office,Y63,Q74,,PDS,Under 35,M,9
2012-13,3.NHS England Region Local Office,Y63,Q74,,TDS,35-44,F,13
2012-13,3.NHS England Region Local Office,Y63,Q74,,TDS,35-44,M,5
2012-13,3.NHS England Region Local Office,Y63,Q74,,TDS,45-54,F,13
2012-13,3.NHS England Region Local Office,Y63,Q74,,TDS,45-54,M,10
2012-13,3.NHS England Region Local Office,Y63,Q74,,TDS,55+,F,9
2012-13,3.NHS England Region Local Office,Y63,Q74,,TDS,55+,M,8
2012-13,3.NHS England Region Local Office,Y63,Q74,,TDS,Under 35,F,20
2012-13,3.NHS England Region Local Office,Y63,Q74,,TDS,Under 35,M,4
2012-13,4.Clinical Commissioning Group,Y56,Q71,09A,GDS,55+,F,2
2012-13,4.Clinical Commissioning Group,Y56,Q71,09A,GDS,Under 35,F,16
2012-13,4.Clinical Commissioning Group,Y56,Q71,09A,Mixed,45-54,F,1
2012-13,4.Clinical Commissioning Group,Y56,Q71,09A,Mixed,Under 35,M,1
2012-13,4.Clinical Commissioning Group,Y56,Q71,09A,PDS,35-44,M,2
2012-13,4.Clinical Commissioning Group,Y56,Q71,09A,PDS,Under 35,M,5
2012-13,4.Clinical Commissioning Group,Y56,Q71,09A,TDS,35-44,M,1
2012-13,4.Clinical Commissioning Group,Y56,Q71,09A,TDS,55+,M,1
2012-13,4.Clinical Commissioning Group,Y58,Q85,11J,GDS,45-54,M,54
2012-13,4.Clinical Commissioning Group,Y58,Q85,11J,Mixed,35-44,F,4
2012-13,4.Clinical Commissioning Group,Y58,Q85,11J,Mixed,55+,F,1
2012-13,4.Clinical Commissioning Group,Y58,Q85,11J,Mixed,Under 35,F,6
2012-13,4.Clinical Commissioning Group,Y58,Q85,11J,PDS,Under 35,F,8
2012-13,4.Clinical Commissioning Group,Y58,Q85,11N,GDS,35-44,M,37
2012-13,4.Clinical Commissioning Group,Y58,Q85,11N,GDS,45-54,F,15
2012-13,4.Clinical Commissioning Group,Y58,Q85,11N,Mixed,45-54,M,1
2012-13,4.Clinical Commissioning Group,Y58,Q85,11N,PDS,45-54,M,4
2012-13,4.Clinical Commissioning Group,Y58,Q85,11N,TDS,35-44,F,7
2012-13,4.Clinical Commissioning Group,Y58,Q85,11X,GDS,45-54,M,36
2012-13,4.Clinical Commissioning Group,Y58,Q85,11X,TDS,45-54,F,2
2012-13,4.Clinical Commissioning Group,Y58,Q85,11X,TDS,55+,F,2
2012-13,4.Clinical Commissioning Group,Y58,Q85,11X,TDS,Under 35,F,6
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,GDS,35-44,M,71
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,GDS,55+,M,60
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,GDS,Under 35,M,74
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,Mixed,45-54,M,2
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,Mixed,55+,M,3
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,PDS,45-54,M,4
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,PDS,55+,M,4
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,TDS,45-54,M,5
2012-13,4.Clinical Commissioning Group,Y58,Q85,15N,TDS,Under 35,F,6
2012-13,4.Clinical Commissioning Group,Y58,Q86,11E,GDS,35-44,M,16
2012-13,4.Clinical Commissioning Group,Y58,Q86,11E,GDS,45-54,F,4
2012-13,4.Clinical Commissioning Group,Y58,Q86,11E,GDS,55+,F,1
2012-13,4.Clinical Commissioning Group,Y58,Q86,11E,GDS,Under 35,M,15
2012-13,4.Clinical Commissioning Group,Y58,Q86,11E,PDS,35-44,M,2
2012-13,4.Clinical Commissioning Group,Y58,Q86,11E,PDS,55+,M,3
2012-13,4.Clinical Commissioning Group,Y58,Q86,11M,GDS,35-44,M,30
2012-13,4.Clinical Commissioning Group,Y58,Q86,11M,GDS,45-54,F,27
2012-13,4.Clinical Commissioning Group,Y58,Q86,11M,GDS,55+,F,8
2012-13,4.Clinical Commissioning Group,Y58,Q86,11M,GDS,Under 35,M,42
2012-13,4.Clinical Commissioning Group,Y58,Q86,11M,PDS,35-44,M,8
2012-13,4.Clinical Commissioning Group,Y58,Q86,11M,PDS,55+,M,7
2012-13,4.Clinical Commissioning Group,Y58,Q86,12D,GDS,45-54,F,10
2012-13,4.Clinical Commissioning Group,Y58,Q86,12D,GDS,55+,F,1
2012-13,4.Clinical Commissioning Group,Y58,Q86,12D,GDS,Under 35,M,9
2012-13,4.Clinical Commissioning Group,Y58,Q86,15C,GDS,35-44,M,63
2012-13,4.Clinical Commissioning Group,Y58,Q86,15C,GDS,45-54,F,30
2012-13,4.Clinical Commissioning Group,Y58,Q86,15C,GDS,55+,F,10
2012-13,4.Clinical Commissioning Group,Y58,Q86,15C,Mixed,35-44,M,1
